[BrainBitSignalData(PackNum=77, Marker=0, O1=0.13723767970817538, O2=0.1554948382328398, T3=0.11820689984025941, T4=0.17456376510979185), BrainBitSignalData(PackNum=77, Marker=0, O1=0.13716253010037432, O2=0.1554307512576592, T3=0.11815883460887396, T4=0.1744916672627137)]
[BrainBitSignalData(PackNum=78, Marker=0, O1=0.13714002336504305, O2=0.15538497484681593, T3=0.11811839877929571, T4=0.17441651765491262), BrainBitSignalData(PackNum=78, Marker=0, O1=0.1371095057578142, O2=0.155376582504828, T3=0.11807948883007892, T4=0.17435433803018383)]
[BrainBitSignalData(PackNum=79, Marker=0, O1=0.136907326609923, O2=0.15511870872374414, T3=0.11798526571775982, T4=0.1742070905753046), BrainBitSignalData(PackNum=79, Marker=0, O1=0.13691457454163986, O2=0.1551511336814248, T3=0.11791888992203706, T4=0.17414338507021435)]
[BrainBitSignalData(PackNum=80, Marker=0, O1=0.13689359368667, O2=0.15513244164699713, T3=0.11786052499821187, T4=0.17407510192403977), BrainBitSignalData(PackNum=80, Marker=0, O1=0.13683561023293517, O2=0.15506034379991895, T3=0.11783000739098301, T4=0.17401711847030493)]
[BrainBitSignalData(PackNum=81, Marker=0, O1=0.13671773597501372, O2=0.15491347781513007, T3=0.11774760985146508, T4=0.1739038218534678), BrainBitSignalData(PackNum=81, Marker=0, O1=0.13670972510311613, O2=0.15489974489187708, T3=0.1177426507402904, T4=0.1738584269127149)]
[BrainBitSignalData(PackNum=82, Marker=0, O1=0.1366887442481463, O2=0.1549005078320578, T3=0.11771785518441695, T4=0.173795102877715), BrainBitSignalData(PackNum=82, Marker=0, O1=0.13658918055456215, O2=0.15476623036025083, T3=0.1176648308418568, T4=0.17371957179982359)]
[BrainBitSignalData(PackNum=83, Marker=0, O1=0.13651021624585746, O2=0.15465064492287153, T3=0.11759540328541115, T4=0.17363641132012494), BrainBitSignalData(PackNum=83, Marker=0, O1=0.13649114274133944, O2=0.15464950051260043, T3=0.11754695658393534, T4=0.1735608802422335)]
[BrainBitSignalData(PackNum=84, Marker=0, O1=0.13650678301504424, O2=0.1546811625301004, T3=0.11753551248122453, T4=0.17352769234437213), BrainBitSignalData(PackNum=84, Marker=0, O1=0.13635305056862887, O2=0.15444083637317313, T3=0.11746455904441742, T4=0.17341592160789643)]
[BrainBitSignalData(PackNum=85, Marker=0, O1=0.13628400448227357, O2=0.15439200820160695, T3=0.11738063562453807, T4=0.17333924611973392), BrainBitSignalData(PackNum=85, Marker=0, O1=0.13626874567865913, O2=0.15439391555205875, T3=0.11734554037622488, T4=0.1732850773669027)]
[BrainBitSignalData(PackNum=86, Marker=0, O1=0.13627942684118924, O2=0.15440650406504067, T3=0.11734515890613452, T4=0.17321297951982453), BrainBitSignalData(PackNum=86, Marker=0, O1=0.13610356912953295, O2=0.1541669408482941, T3=0.11726237989652624, T4=0.17312638580931264)]
[BrainBitSignalData(PackNum=87, Marker=0, O1=0.13612073528359916, O2=0.15421309872922775, T3=0.11725131726390578, T4=0.17314088167274636), BrainBitSignalData(PackNum=87, Marker=0, O1=0.13610242471926187, O2=0.15419173640416756, T3=0.11723224375938775, T4=0.17309319791145125)]
[BrainBitSignalData(PackNum=88, Marker=0, O1=0.1360787735736595, O2=0.1541398564718785, T3=0.1172024890923396, T4=0.17302605917554778), BrainBitSignalData(PackNum=88, Marker=0, O1=0.13594602198221395, O2=0.1539689578713969, T3=0.11714603151896621, T4=0.17291276255871063)]
[BrainBitSignalData(PackNum=89, Marker=0, O1=0.13596547695682235, O2=0.15400367164961973, T3=0.11709338864649643, T4=0.17287270819922276), BrainBitSignalData(PackNum=89, Marker=0, O1=0.1359300002384188, O2=0.15399375342727034, T3=0.1170491381160146, T4=0.17282006532675298)]
[BrainBitSignalData(PackNum=90, Marker=0, O1=0.13582967360465395, O2=0.15388312710106575, T3=0.11702586844050258, T4=0.1727422454283194), BrainBitSignalData(PackNum=90, Marker=0, O1=0.13578771189471425, O2=0.15380339985218033, T3=0.11695834823450874, T4=0.17267625110268697)]
[BrainBitSignalData(PackNum=91, Marker=0, O1=0.13577397897146126, O2=0.15378318193739124, T3=0.11692783062727988, T4=0.17265870347853038), BrainBitSignalData(PackNum=91, Marker=0, O1=0.1358067853992323, O2=0.15385299096392724, T3=0.11693507855899674, T4=0.17261178265741603)]
[BrainBitSignalData(PackNum=92, Marker=0, O1=0.13566716734616027, O2=0.1536252533199819, T3=0.11688281715661732, T4=0.172504971032115), BrainBitSignalData(PackNum=92, Marker=0, O1=0.13559659537944355, O2=0.153548196361729, T3=0.11682292635243069, T4=0.17246949431371147)]
[BrainBitSignalData(PackNum=93, Marker=0, O1=0.1356347423884796, O2=0.1536153350976325, T3=0.11681224518990058, T4=0.17248131988651266), BrainBitSignalData(PackNum=93, Marker=0, O1=0.13563817561929287, O2=0.1536435638843192, T3=0.11679622344610543, T4=0.17245995756145246)]
[BrainBitSignalData(PackNum=94, Marker=0, O1=0.13549855756622084, O2=0.1534287962234461, T3=0.11673366235128627, T4=0.17235429034642252), BrainBitSignalData(PackNum=94, Marker=0, O1=0.135500846386763, O2=0.15345397324940993, T3=0.11671535178694896, T4=0.17231614333738646)]
[BrainBitSignalData(PackNum=95, Marker=0, O1=0.1354756693607992, O2=0.15344519943733162, T3=0.11671153708604536, T4=0.17224175666976613), BrainBitSignalData(PackNum=95, Marker=0, O1=0.1354443888133896, O2=0.15340590801802448, T3=0.11667453448728037, T4=0.17220666142145294)]
