[BrainBitSignalData(PackNum=80, Marker=0, O1=0.28478191831771693, O2=0.23389151944305367, T3=0.14189771833202203, T4=0.24979767780082493), BrainBitSignalData(PackNum=80, Marker=0, O1=0.28425320077247695, O2=0.2335764251484157, T3=0.1416669289273538, T4=0.2494650358820304)]
[BrainBitSignalData(PackNum=81, Marker=0, O1=0.28377521874925493, O2=0.23333609899148847, T3=0.1414163030779868, T4=0.24921288415230194), BrainBitSignalData(PackNum=81, Marker=0, O1=0.2832873185036836, O2=0.23307975109076604, T3=0.14117864721169207, T4=0.24895996948239277)]
[BrainBitSignalData(PackNum=82, Marker=0, O1=0.28279674796747967, O2=0.23281653672841715, T3=0.14095815749946355, T4=0.24868836277805595), BrainBitSignalData(PackNum=82, Marker=0, O1=0.2822993109696493, O2=0.23252890828028516, T3=0.14074300836850012, T4=0.24838013494504446)]
[BrainBitSignalData(PackNum=83, Marker=0, O1=0.28182476217724056, O2=0.23227217890947238, T3=0.140518703955368, T4=0.24813217938631), BrainBitSignalData(PackNum=83, Marker=0, O1=0.2813647092482655, O2=0.23201392365829818, T3=0.1403031733543142, T4=0.2478922346994731)]
[BrainBitSignalData(PackNum=84, Marker=0, O1=0.28088672722504354, O2=0.2317259137400758, T3=0.14007848747109172, T4=0.2475920177383592), BrainBitSignalData(PackNum=84, Marker=0, O1=0.2804419330996829, O2=0.2314718546598956, T3=0.13984159454497772, T4=0.24731964809384166)]
[BrainBitSignalData(PackNum=85, Marker=0, O1=0.28001430512838854, O2=0.23125441670838998, T3=0.13964284862789977, T4=0.24709534368070954), BrainBitSignalData(PackNum=85, Marker=0, O1=0.2795782848151062, O2=0.2310278234747157, T3=0.13944562859118328, T4=0.2468847721908304)]
[BrainBitSignalData(PackNum=86, Marker=0, O1=0.2790846625181794, O2=0.23072646210333073, T3=0.13924497532365354, T4=0.24657463700736715), BrainBitSignalData(PackNum=86, Marker=0, O1=0.2786574160169754, O2=0.23050902415182511, T3=0.1390481367570274, T4=0.24634232172233747)]
[BrainBitSignalData(PackNum=87, Marker=0, O1=0.27823169539613285, O2=0.23029082326013878, T3=0.1388188732327206, T4=0.2461126767279403), BrainBitSignalData(PackNum=87, Marker=0, O1=0.2778193262284529, O2=0.2300844479412536, T3=0.1386159311446487, T4=0.24589142407553108)]
[BrainBitSignalData(PackNum=88, Marker=0, O1=0.27736346947047186, O2=0.2298086450659228, T3=0.13842481462937797, T4=0.24559044417423648), BrainBitSignalData(PackNum=88, Marker=0, O1=0.27697208115776173, O2=0.22959616622559187, T3=0.13822645018239038, T4=0.24537605798345374)]
[BrainBitSignalData(PackNum=89, Marker=0, O1=0.27654941229764207, O2=0.2293871206160742, T3=0.13801969339341488, T4=0.2451677753141168), BrainBitSignalData(PackNum=89, Marker=0, O1=0.27614657988222113, O2=0.2291609088524903, T3=0.13783315451922848, T4=0.24493202679827386)]
[BrainBitSignalData(PackNum=90, Marker=0, O1=0.27574718069761345, O2=0.22893393414872565, T3=0.13763326419187946, T4=0.2446897932908948), BrainBitSignalData(PackNum=90, Marker=0, O1=0.27534968886345756, O2=0.2287332808811959, T3=0.1374463438476027, T4=0.24446587034785305)]
[BrainBitSignalData(PackNum=91, Marker=0, O1=0.27498652933743417, O2=0.22855818610972034, T3=0.13726476408459098, T4=0.24426903178122691), BrainBitSignalData(PackNum=91, Marker=0, O1=0.2745917077939108, O2=0.2283323558162268, T3=0.1370801325608564, T4=0.24404167560737192)]
[BrainBitSignalData(PackNum=92, Marker=0, O1=0.27419879360083926, O2=0.2281069069928236, T3=0.13689359368667, T4=0.24380707150180006), BrainBitSignalData(PackNum=92, Marker=0, O1=0.2737963426555087, O2=0.22791884223827577, T3=0.13670552893212218, T4=0.2436125217557161)]
[BrainBitSignalData(PackNum=93, Marker=0, O1=0.2734358534201178, O2=0.22775290274896884, T3=0.1365235676990201, T4=0.2434416231552345), BrainBitSignalData(PackNum=93, Marker=0, O1=0.27304560951767876, O2=0.22751791717330663, T3=0.13634961733781562, T4=0.24319519347686147)]
[BrainBitSignalData(PackNum=94, Marker=0, O1=0.27271182318861314, O2=0.22734701857282502, T3=0.13618024461769546, T4=0.2430132322437594), BrainBitSignalData(PackNum=94, Marker=0, O1=0.2723547671840355, O2=0.22716620174999405, T3=0.13600705719667167, T4=0.24281563073695253)]
[BrainBitSignalData(PackNum=95, Marker=0, O1=0.27199961852990967, O2=0.22699721049996424, T3=0.1358281477242925, T4=0.24263901008511551), BrainBitSignalData(PackNum=95, Marker=0, O1=0.27160708580692844, O2=0.22675841022339843, T3=0.13566449705552774, T4=0.24239563216746537)]
[BrainBitSignalData(PackNum=96, Marker=0, O1=0.2712694847769592, O2=0.2265917077939108, T3=0.13548558758314858, T4=0.24223274443888135), BrainBitSignalData(PackNum=96, Marker=0, O1=0.2709269246358153, O2=0.22640440597954367, T3=0.13529714135851037, T4=0.24205841260758648)]
[BrainBitSignalData(PackNum=97, Marker=0, O1=0.2705832200844003, O2=0.2262060415325561, T3=0.13514646067281788, T4=0.24185585198960494), BrainBitSignalData(PackNum=97, Marker=0, O1=0.27022616407982264, O2=0.22598021123906253, T3=0.13500264644875187, T4=0.24162658846529814)]
[BrainBitSignalData(PackNum=98, Marker=0, O1=0.2699030589132871, O2=0.22580511646758697, T3=0.13483785136971604, T4=0.2414659895572563), BrainBitSignalData(PackNum=98, Marker=0, O1=0.26957919080657083, O2=0.22562735140547888, T3=0.1346848818634814, T4=0.24129470948668433)]
[BrainBitSignalData(PackNum=99, Marker=0, O1=0.26922060892163174, O2=0.22542555372767806, T3=0.13451665355363232, T4=0.24108375652671482), BrainBitSignalData(PackNum=99, Marker=0, O1=0.2689032258064516, O2=0.22526037717855185, T3=0.13435872493622297, T4=0.2409071358748778)]
